target,source_id,cell_id,condition_id,discharge_stage,sample_count,model_mae,model_p95_absolute_error,physical_mae,physical_max_absolute_error
soc,mit_stanford_fast_charge,b1c43,8C(25%)-3.6C,0-25%,189,0.002358199436143055,0.011153672388345411,4.170679087216196e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c43,8C(25%)-3.6C,25-50%,111,0.005785589155759717,0.016149435763223703,0.0,0.0
soc,mit_stanford_fast_charge,b1c43,8C(25%)-3.6C,50-75%,153,0.006438715258973294,0.016188006605270845,2.3583168823736985e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c43,8C(25%)-3.6C,75-100%,800,0.002955884604829956,0.01050305353145505,4.4779726598325776e-17,9.942133921692076e-17
soc,mit_stanford_fast_charge,b1c43,8C(25%)-3.6C,>100%,42,0.0003549309770890952,0.0004968948945258,0.0,0.0
soc,mit_stanford_fast_charge,b1c9,5.4C(40%)-3.6C,0-25%,243,0.002206943998104616,0.0070674696261309195,3.7921197960447734e-17,1.1102230246251565e-16
soc,mit_stanford_fast_charge,b1c9,5.4C(40%)-3.6C,25-50%,143,0.007959868328690299,0.021671578242416004,0.0,0.0
soc,mit_stanford_fast_charge,b1c9,5.4C(40%)-3.6C,50-75%,169,0.007554956064097219,0.018012246578895448,2.4963594636541983e-17,5.551115123125783e-17
soc,mit_stanford_fast_charge,b1c9,5.4C(40%)-3.6C,75-100%,787,0.002831033220517189,0.010352670702881879,4.222394019449468e-17,9.952975943416931e-17
soc,mit_stanford_fast_charge,b1c9,5.4C(40%)-3.6C,>100%,54,0.0007068580104042001,0.0011167985418640495,0.0,0.0
soe,calce_a123_dynamic_25c,A1-007-DST-US06-FUDS-25,ambient_25c,75-100%,1,0.063423074715911,0.063423074715911,0.08833258636264113,0.08833258636264113
soe,calce_a123_dynamic_25c,A1-007-DST-US06-FUDS-25,ambient_25c,>100%,136,0.0026595871386464564,0.0092883144752925,0.0002087404333014022,0.0283886989289907
soe,mit_stanford_fast_charge,b1c0,3.6C(80%)-3.6C,25-50%,65,0.006725750113436859,0.01391705993827976,1.1956247957501686e-17,1.1102230246251565e-16
soe,mit_stanford_fast_charge,b1c0,3.6C(80%)-3.6C,50-75%,90,0.01496345186293882,0.027255051125641708,3.515706244646329e-17,2.7755575615628914e-16
soe,mit_stanford_fast_charge,b1c0,3.6C(80%)-3.6C,75-100%,494,0.0049175361717670165,0.017732484719139536,5.1783232346913724e-17,2.9869769851975647e-16
soe,mit_stanford_fast_charge,b1c0,3.6C(80%)-3.6C,>100%,197,0.0007151945949884656,0.001677219606753672,0.0,0.0
soe,mit_stanford_fast_charge,b1c1,3.6C(80%)-3.6C,25-50%,53,0.004472195541077665,0.014742327535449917,1.25685625429263e-17,1.1102230246251565e-16
soe,mit_stanford_fast_charge,b1c1,3.6C(80%)-3.6C,50-75%,71,0.00860344032691165,0.0262444231999876,3.596497122025155e-17,2.220446049250313e-16
soe,mit_stanford_fast_charge,b1c1,3.6C(80%)-3.6C,75-100%,431,0.0026917085584087655,0.01196830110548445,4.7785680128410535e-17,3.1994806110047236e-16
soe,mit_stanford_fast_charge,b1c1,3.6C(80%)-3.6C,>100%,169,0.0002543149208195209,0.0006851707015166599,0.0,0.0
soe,mit_stanford_fast_charge,b1c16,5.4C(60%)-3.6C,0-25%,21,0.003255645215879428,0.0064735385271664,3.700743415417188e-17,1.1102230246251565e-16
soe,mit_stanford_fast_charge,b1c16,5.4C(60%)-3.6C,25-50%,32,0.004614799787988847,0.010522649767209048,1.0408340855860843e-17,1.1102230246251565e-16
soe,mit_stanford_fast_charge,b1c16,5.4C(60%)-3.6C,50-75%,36,0.007270818738739375,0.017391352115092875,4.9343245538895844e-17,2.7755575615628914e-16
soe,mit_stanford_fast_charge,b1c16,5.4C(60%)-3.6C,75-100%,321,0.0017780055783758204,0.0081140839061564,4.742044177235914e-17,3.0682921481339775e-16
soe,mit_stanford_fast_charge,b1c16,5.4C(60%)-3.6C,>100%,66,0.0004639333384034576,0.00065644872143225,0.0,0.0
soe,mit_stanford_fast_charge,b1c2,3.6C(80%)-3.6C,0-25%,1,0.0198091842631229,0.0198091842631229,0.0,0.0
soe,mit_stanford_fast_charge,b1c2,3.6C(80%)-3.6C,25-50%,152,0.005815085747495172,0.015221461893996521,1.3147377923192643e-17,2.220446049250313e-16
soe,mit_stanford_fast_charge,b1c2,3.6C(80%)-3.6C,50-75%,159,0.010152580278125187,0.02300623734411426,4.014957478990346e-17,1.6653345369377348e-16
soe,mit_stanford_fast_charge,b1c2,3.6C(80%)-3.6C,75-100%,797,0.0031468826235670124,0.014453170556644857,4.94313102779091e-17,3.2612801348363973e-16
soe,mit_stanford_fast_charge,b1c2,3.6C(80%)-3.6C,>100%,184,0.0002455288306871989,0.0009183071302322898,0.0,0.0
soe,mit_stanford_fast_charge,b1c3,4C(80%)-4C,25-50%,64,0.010113247149750156,0.022321846121913895,1.3877787807814457e-17,2.220446049250313e-16
soe,mit_stanford_fast_charge,b1c3,4C(80%)-4C,50-75%,76,0.012934886422612849,0.027320755658819026,3.725090411571249e-17,1.6653345369377348e-16
soe,mit_stanford_fast_charge,b1c3,4C(80%)-4C,75-100%,452,0.0039827136777377675,0.014392463950948125,5.1125240865908825e-17,3.1504204626997545e-16
soe,mit_stanford_fast_charge,b1c3,4C(80%)-4C,>100%,93,0.0006675901682216603,0.0013386519529967,0.0,0.0
soe,mit_stanford_fast_charge,b1c4,4C(80%)-4C,25-50%,87,0.005266901232521868,0.01386351068759317,1.5313421029312504e-17,2.220446049250313e-16
soe,mit_stanford_fast_charge,b1c4,4C(80%)-4C,50-75%,125,0.007936264491189303,0.02018526865249018,3.6415315207705136e-17,1.6653345369377348e-16
soe,mit_stanford_fast_charge,b1c4,4C(80%)-4C,75-100%,610,0.00410818527489477,0.013922138875303488,5.3410867775346494e-17,2.7755575615628914e-16
soe,mit_stanford_fast_charge,b1c4,4C(80%)-4C,>100%,97,0.0005192839616407267,0.0012442946796397995,0.0,0.0
soe,mit_stanford_fast_charge,b1c42,8C(25%)-3.6C,0-25%,118,0.0016293639956567261,0.00753938146626404,4.704334850106595e-17,2.220446049250313e-16
soe,mit_stanford_fast_charge,b1c42,8C(25%)-3.6C,25-50%,105,0.005131421799161704,0.012687621136901438,1.163090787702545e-17,1.1102230246251565e-16
soe,mit_stanford_fast_charge,b1c42,8C(25%)-3.6C,50-75%,149,0.006711350444658217,0.017417465045636477,4.060882875306781e-17,2.7755575615628914e-16
soe,mit_stanford_fast_charge,b1c42,8C(25%)-3.6C,75-100%,810,0.003089395985505764,0.010669028861000369,5.560258896077377e-17,4.0245584642661925e-16
soe,mit_stanford_fast_charge,b1c42,8C(25%)-3.6C,>100%,47,0.000797136228646234,0.001431424573108407,0.0,0.0
soe,mit_stanford_fast_charge,b1c43,8C(25%)-3.6C,0-25%,183,0.002056140000343023,0.009061267196523082,4.125418889317522e-17,2.220446049250313e-16
soe,mit_stanford_fast_charge,b1c43,8C(25%)-3.6C,25-50%,110,0.004271249703977789,0.011458784934810002,1.312081756375185e-17,2.220446049250313e-16
soe,mit_stanford_fast_charge,b1c43,8C(25%)-3.6C,50-75%,143,0.007743231664778641,0.021311813200126924,3.1443379368754435e-17,2.220446049250313e-16
soe,mit_stanford_fast_charge,b1c43,8C(25%)-3.6C,75-100%,804,0.0028904576170727396,0.010453298192528845,5.4048139911201996e-17,3.122502256758253e-16
soe,mit_stanford_fast_charge,b1c43,8C(25%)-3.6C,>100%,55,0.000592779683670969,0.0012098017881404686,0.0,0.0
soe,mit_stanford_fast_charge,b1c9,5.4C(40%)-3.6C,0-25%,235,0.0026439648330925927,0.009749658528980267,3.873969702947355e-17,2.220446049250313e-16
soe,mit_stanford_fast_charge,b1c9,5.4C(40%)-3.6C,25-50%,131,0.006154814324087621,0.016559796374899398,1.3559975873284354e-17,2.220446049250313e-16
soe,mit_stanford_fast_charge,b1c9,5.4C(40%)-3.6C,50-75%,173,0.010105022881152517,0.0262044306179727,3.2729118066984386e-17,1.6653345369377348e-16
soe,mit_stanford_fast_charge,b1c9,5.4C(40%)-3.6C,75-100%,768,0.0033302845989451094,0.012400485945957797,5.739777153747897e-17,3.174543961037557e-16
soe,mit_stanford_fast_charge,b1c9,5.4C(40%)-3.6C,>100%,89,0.0014062445716475729,0.0046192424057944,0.0,0.0
